属性ID,中文名,说明,单位,取值范围/示例,用于,备注
max_hp,生命值,单位存活时的生命上限,点,100~10000+,战斗,为0即死亡
atk,攻击力,用于伤害计算的基础攻击,点,10~5000+,战斗,参与伤害公式
def,防御力,减法中与攻击/基础伤害配对相减；不参与减伤率公式,点,0~3000+,战斗,主方案：减法
spd,速度,ATB时间条增长速度；速度=10 时为 1 秒 1 刀，按兵种调此值即可调节奏,点,约 5~20+；基准10,战斗,见常数表 speed_baseline
crit_rate,暴击率,暴击判定概率,百分比,0%~100%,战斗,可设上限
crit_dmg,暴击伤害,暴击时的伤害倍率,倍率,1.5~3.0,战斗,如150%即1.5倍
hit,命中,命中判定（可选）,点或%,0~100%,战斗,若不做闪避可省略
dodge,闪避,闪避判定（可选）,点或%,0~100%,战斗,与命中配套
--,--,--,--,--,--,--
刀数(节奏),刀数,击败一只怪所需攻击次数 = 怪物血量/单次伤害,次,设计目标约10,战斗节奏,用于反推血量、控制单场战斗时长
--,--,--,--,--,--,--
stamina,体力/耐力,地牢探险消耗（可选）,点,100,地牢,种田或休息恢复
dungeon_party_max,地牢队伍上限,单次进入地牢可编入队伍的单位人数上限；超出则不可选入或不可开始探险,人,1~6（示例）,地牢,全局默认可在常数表配置；关卡/难度可单独覆盖；影响 ATB 同场单位数与组队策略
--,--,--,--,--,--,--
growth_days,成熟天数,种田作物成熟所需天数,天,1~30,种田,可做表单独配置
yield_count,单次产量,收获时产出数量,个,1~99,种田,按作物ID配置
