【常数表】策划可调参数

参数名,建议值,说明

atb_max,10000,ATB时间条满值（满即行动）

speed_baseline,10,基准速度：速度=10 时 1 秒满条 = 1 秒 1 刀；按兵种调速度即可调节奏

atb_speed_factor,1000,每秒增量=速度×此系数；atb_speed_factor = atb_max/speed_baseline

target_hits_normal,10,普通战斗目标刀数（击败单怪所需攻击次数），用于反推血量与节奏

dungeon_party_max,4,地牢探险编队人数上限（全局默认）；关卡/难度表可单独覆盖

D_min,1,减法公式伤害下限 max(D_min,基础−防御)；避免伤害为0；封闭10阶环境可调

battle_formula,减法,主战斗伤害公式：减法（攻防差/基础伤害−防御），不用减伤率公式



【地牢层级示例】量级阶梯（按目标刀数≈10 反推血量）

层数,档位,怪物攻击,怪物防御,怪物血量,推荐玩家攻击,推荐玩家防御,期望单次伤害(约),期望刀数,备注

5,1档,40,20,350,60,25,35,10,入门

10,1档,80,40,700,120,50,70,10,1档顶

15,2档,180,90,1400,250,120,140,10,2档

20,2档,500,250,3400,600,200,340,10,2档顶

25,3档,1200,600,8000,1400,500,800,10,3档

30,3档,2000,1000,13300,2400,800,1330,10,3档顶

